PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"10, 19.5, 145","+1,081.00 USD",+0.11%,"1,501.50 USD",0.15%,11,45.45%,2.343,0,,0
"10, 19.5, 25",−34.00 USD,0.00%,227.00 USD,0.02%,4,25.00%,0.244,0,,0
"10, 19.5, 35",−168.00 USD,−0.02%,387.00 USD,0.04%,8,25.00%,0.235,0,,0
"10, 19.5, 45",−172.00 USD,−0.02%,426.00 USD,0.04%,9,33.33%,0.335,0,,0
"10, 19.5, 55",−172.00 USD,−0.02%,426.00 USD,0.04%,9,33.33%,0.335,0,,0
"10, 19.5, 65",−224.00 USD,−0.02%,478.00 USD,0.05%,9,33.33%,0.279,0,,0
"10, 19.5, 75",−224.00 USD,−0.02%,478.00 USD,0.05%,9,33.33%,0.279,0,,0
"10, 19.5, 85",+129.50 USD,+0.01%,516.00 USD,0.05%,10,40.00%,1.372,0,,0
"10, 19.5, 95","+2,002.50 USD",+0.20%,"1,243.50 USD",0.12%,10,50.00%,8.571,0,,0
"10, 20, 105","+5,001.50 USD",+0.50%,930.00 USD,0.09%,12,41.67%,11.023,0,,0
"10, 20, 115","+5,022.50 USD",+0.50%,930.00 USD,0.09%,7,42.86%,19.397,0,,0
"10, 20, 125","+2,865.00 USD",+0.29%,449.00 USD,0.04%,8,25.00%,6.442,0,,0
"10, 20, 135","+2,854.00 USD",+0.29%,449.00 USD,0.04%,8,25.00%,6.31,0,,0
"10, 20, 145",−701.50 USD,−0.07%,889.50 USD,0.09%,9,22.22%,0.053,0,,0
"10, 20, 25","+7,817.50 USD",+0.78%,930.00 USD,0.09%,4,50.00%,36.773,0,,0
"10, 20, 35","+7,574.00 USD",+0.76%,930.00 USD,0.09%,5,40.00%,19.318,0,,0
"10, 20, 45","+8,348.00 USD",+0.83%,930.00 USD,0.09%,5,40.00%,19.318,0,,0
"10, 20, 55","+8,707.50 USD",+0.87%,930.00 USD,0.09%,6,33.33%,14.655,0,,0
"10, 20, 65","+5,236.00 USD",+0.52%,930.00 USD,0.09%,9,44.44%,17.89,0,,0
"10, 20, 75","+5,231.00 USD",+0.52%,930.00 USD,0.09%,10,40.00%,17.12,0,,0
"10, 20, 85","+5,150.50 USD",+0.52%,930.00 USD,0.09%,12,41.67%,12.561,0,,0
"10, 20, 95","+5,114.50 USD",+0.51%,930.00 USD,0.09%,12,41.67%,11.622,0,,0
"10, 3, 105","−11,362.50 USD",−1.14%,"11,456.50 USD",1.15%,212,20.28%,0.413,0,,0
"10, 3, 115","−9,325.00 USD",−0.93%,"9,556.50 USD",0.96%,214,22.43%,0.534,0,,0
"10, 3, 125","−7,599.50 USD",−0.76%,"7,761.00 USD",0.78%,161,21.12%,0.558,0,,0
"10, 3, 135","−8,584.50 USD",−0.86%,"8,614.00 USD",0.86%,163,20.25%,0.532,0,,0
"10, 3, 145","−6,798.00 USD",−0.68%,"7,066.00 USD",0.71%,166,22.89%,0.618,0,,0
"10, 3, 25","−4,086.50 USD",−0.41%,"4,319.50 USD",0.43%,84,20.24%,0.221,0,,0
"10, 3, 35","−6,197.00 USD",−0.62%,"6,442.50 USD",0.64%,116,17.24%,0.23,0,,0
"10, 3, 45","−6,773.00 USD",−0.68%,"8,612.00 USD",0.86%,138,19.57%,0.375,0,,0
"10, 3, 55","−5,864.00 USD",−0.59%,"6,317.50 USD",0.63%,155,18.71%,0.411,0,,0
"10, 3, 65","−7,457.50 USD",−0.75%,"7,714.00 USD",0.77%,168,19.05%,0.407,0,,0
"10, 3, 75","−9,055.50 USD",−0.91%,"9,149.50 USD",0.91%,180,19.44%,0.384,0,,0
"10, 3, 85","−11,104.00 USD",−1.11%,"11,155.50 USD",1.12%,192,17.71%,0.376,0,,0
"10, 3, 95","−11,208.50 USD",−1.12%,"11,302.50 USD",1.13%,208,18.75%,0.402,0,,0
"10, 3.5, 105","−3,289.50 USD",−0.33%,"4,702.50 USD",0.47%,169,26.04%,0.705,0,,0
"10, 3.5, 115","−4,647.50 USD",−0.46%,"6,288.50 USD",0.63%,176,25.57%,0.665,0,,0
"10, 3.5, 125","−1,427.00 USD",−0.14%,"5,888.00 USD",0.59%,131,22.14%,0.825,0,,0
"10, 3.5, 135","−1,161.00 USD",−0.12%,"5,372.00 USD",0.54%,132,25.76%,0.916,0,,0
"10, 3.5, 145","−1,545.50 USD",−0.15%,"5,684.00 USD",0.57%,134,25.37%,0.893,0,,0
"10, 3.5, 25","+4,532.50 USD",+0.45%,"5,074.00 USD",0.50%,70,31.43%,1.431,0,,0
"10, 3.5, 35","−1,150.00 USD",−0.11%,"6,267.00 USD",0.62%,93,26.88%,0.757,0,,0
"10, 3.5, 45","+1,325.50 USD",+0.13%,"3,415.00 USD",0.34%,111,27.03%,1.04,0,,0
"10, 3.5, 55","+2,588.00 USD",+0.26%,"2,507.50 USD",0.25%,126,25.40%,1.318,0,,0
"10, 3.5, 65","+1,187.50 USD",+0.12%,"2,792.00 USD",0.28%,136,24.26%,1.122,0,,0
"10, 3.5, 75","+2,480.50 USD",+0.25%,"3,185.00 USD",0.32%,145,27.59%,1.241,0,,0
"10, 3.5, 85","−1,889.00 USD",−0.19%,"3,403.50 USD",0.34%,155,27.10%,0.827,0,,0
"10, 3.5, 95","−2,548.00 USD",−0.25%,"3,559.50 USD",0.36%,161,26.71%,0.767,0,,0
"10, 4, 105","+2,271.00 USD",+0.23%,"3,724.00 USD",0.37%,124,18.55%,0.964,0,,0
"10, 4, 115","+2,272.00 USD",+0.23%,"3,764.00 USD",0.38%,126,21.43%,0.974,0,,0
"10, 4, 125","+3,778.50 USD",+0.38%,"3,837.00 USD",0.38%,92,21.74%,1.107,0,,0
"10, 4, 135","+4,393.00 USD",+0.44%,"4,249.00 USD",0.42%,93,22.58%,1.451,0,,0
"10, 4, 145","+3,600.50 USD",+0.36%,"4,883.00 USD",0.49%,96,21.88%,1.34,0,,0
"10, 4, 25","+1,175.50 USD",+0.12%,"4,250.50 USD",0.42%,51,27.45%,1.233,0,,0
"10, 4, 35",+794.50 USD,+0.08%,"4,072.00 USD",0.41%,68,22.06%,1.137,0,,0
"10, 4, 45","+3,688.50 USD",+0.37%,"1,753.50 USD",0.17%,86,23.26%,1.62,0,,0
"10, 4, 55","+3,727.00 USD",+0.37%,"1,824.00 USD",0.18%,97,22.68%,1.368,0,,0
"10, 4, 65","+3,665.50 USD",+0.37%,"2,494.50 USD",0.25%,103,21.36%,1.184,0,,0
"10, 4, 75","+2,751.50 USD",+0.27%,"3,645.00 USD",0.36%,113,20.35%,1.097,0,,0
"10, 4, 85","+1,897.50 USD",+0.19%,"4,176.50 USD",0.42%,117,19.66%,0.996,0,,0
"10, 4, 95","+1,108.50 USD",+0.11%,"4,596.50 USD",0.46%,120,17.50%,0.898,0,,0
"10, 4.5, 105","+4,968.00 USD",+0.50%,"2,748.50 USD",0.27%,99,26.26%,1.251,0,,0
"10, 4.5, 115","+3,543.50 USD",+0.35%,"3,539.00 USD",0.35%,104,25.00%,1.082,0,,0
"10, 4.5, 125","+4,022.00 USD",+0.40%,"4,485.50 USD",0.45%,77,22.08%,1.135,0,,0
"10, 4.5, 135","+3,137.00 USD",+0.31%,"5,016.00 USD",0.50%,78,23.08%,1.341,0,,0
"10, 4.5, 145","+1,837.50 USD",+0.18%,"6,171.50 USD",0.61%,79,21.52%,1.187,0,,0
"10, 4.5, 25","−1,279.00 USD",−0.13%,"2,767.50 USD",0.28%,33,18.18%,0.442,0,,0
"10, 4.5, 35","−2,270.00 USD",−0.23%,"4,119.50 USD",0.41%,47,23.40%,0.493,0,,0
"10, 4.5, 45",−672.00 USD,−0.07%,"2,366.00 USD",0.24%,57,24.56%,0.804,0,,0
"10, 4.5, 55",−898.00 USD,−0.09%,"1,620.50 USD",0.16%,68,26.47%,0.776,0,,0
"10, 4.5, 65",−712.50 USD,−0.07%,"1,954.50 USD",0.20%,77,25.97%,0.857,0,,0
"10, 4.5, 75","−2,421.00 USD",−0.24%,"3,306.50 USD",0.33%,83,22.89%,0.632,0,,0
"10, 4.5, 85","+3,521.50 USD",+0.35%,"2,749.50 USD",0.27%,92,26.09%,1.482,0,,0
"10, 4.5, 95","+3,607.00 USD",+0.36%,"2,170.00 USD",0.22%,97,28.87%,1.437,0,,0
"10, 5, 105","+1,440.00 USD",+0.14%,"2,619.00 USD",0.26%,76,22.37%,1.22,0,,0
"10, 5, 115",+735.50 USD,+0.07%,"3,013.50 USD",0.30%,83,21.69%,1.096,0,,0
"10, 5, 125","−2,193.00 USD",−0.22%,"3,284.00 USD",0.33%,63,19.05%,0.681,0,,0
"10, 5, 135","+1,762.00 USD",+0.18%,"4,295.00 USD",0.43%,67,17.91%,1.214,0,,0
"10, 5, 145","+1,100.50 USD",+0.11%,"4,956.50 USD",0.49%,69,17.39%,1.124,0,,0
"10, 5, 25","−5,576.00 USD",−0.56%,"8,804.50 USD",0.88%,37,29.73%,0.336,0,,0
"10, 5, 35","−3,948.50 USD",−0.39%,"8,774.50 USD",0.88%,42,28.57%,0.547,0,,0
"10, 5, 45","+2,084.00 USD",+0.21%,"1,426.00 USD",0.14%,49,22.45%,1.816,0,,0
"10, 5, 55","+1,807.00 USD",+0.18%,"1,642.00 USD",0.16%,51,23.53%,1.623,0,,0
"10, 5, 65","+7,367.00 USD",+0.74%,"2,015.00 USD",0.20%,59,22.03%,2.879,0,,0
"10, 5, 75","+6,887.50 USD",+0.69%,"2,140.00 USD",0.21%,65,21.54%,2.496,0,,0
"10, 5, 85","+8,292.50 USD",+0.83%,"2,337.50 USD",0.23%,71,22.54%,2.523,0,,0
"10, 5, 95","+8,017.50 USD",+0.80%,"2,268.00 USD",0.22%,74,22.97%,2.33,0,,0
"10, 5.5, 105","+5,466.00 USD",+0.55%,"1,647.00 USD",0.16%,72,31.94%,2.013,0,,0
"10, 5.5, 115","+5,430.00 USD",+0.54%,"1,683.00 USD",0.17%,72,33.33%,1.974,0,,0
"10, 5.5, 125","+1,702.00 USD",+0.17%,"1,683.00 USD",0.17%,55,32.73%,1.365,0,,0
"10, 5.5, 135",−165.50 USD,−0.02%,"2,074.00 USD",0.21%,56,28.57%,0.97,0,,0
"10, 5.5, 145",−941.50 USD,−0.09%,"2,597.50 USD",0.26%,60,30.00%,0.845,0,,0
"10, 5.5, 25",−130.50 USD,−0.01%,"3,963.00 USD",0.40%,21,61.90%,0.966,0,,0
"10, 5.5, 35","−1,122.50 USD",−0.11%,"4,834.00 USD",0.48%,26,50.00%,0.733,0,,0
"10, 5.5, 45","+1,033.50 USD",+0.10%,"3,103.00 USD",0.31%,45,48.89%,1.296,0,,0
"10, 5.5, 55","+3,323.50 USD",+0.33%,"2,718.00 USD",0.27%,49,51.02%,1.909,0,,0
"10, 5.5, 65","+3,898.00 USD",+0.39%,"1,890.50 USD",0.19%,57,43.86%,2.073,0,,0
"10, 5.5, 75","+3,814.00 USD",+0.38%,"1,890.00 USD",0.19%,60,40.00%,2.126,0,,0
"10, 5.5, 85","+3,362.50 USD",+0.34%,"1,299.00 USD",0.13%,65,36.92%,1.841,0,,0
"10, 5.5, 95","+5,652.00 USD",+0.57%,"1,678.00 USD",0.17%,69,33.33%,2.23,0,,0
"10, 6, 105","+1,676.50 USD",+0.17%,"1,531.50 USD",0.15%,65,32.31%,1.327,0,,0
"10, 6, 115","+3,113.00 USD",+0.31%,"1,582.00 USD",0.16%,66,31.82%,1.576,0,,0
"10, 6, 125","+2,691.00 USD",+0.27%,"1,582.00 USD",0.16%,49,30.61%,1.666,0,,0
"10, 6, 135","+2,094.00 USD",+0.21%,"1,935.50 USD",0.19%,51,29.41%,1.446,0,,0
"10, 6, 145","+1,353.00 USD",+0.14%,"2,097.00 USD",0.21%,54,24.07%,1.269,0,,0
"10, 6, 25","+1,594.50 USD",+0.16%,"2,118.50 USD",0.21%,24,41.67%,2.952,0,,0
"10, 6, 35","+2,572.50 USD",+0.26%,"2,739.00 USD",0.27%,30,33.33%,2.828,0,,0
"10, 6, 45","+2,595.00 USD",+0.26%,"2,641.00 USD",0.26%,35,28.57%,2.578,0,,0
"10, 6, 55","+2,607.00 USD",+0.26%,"2,918.50 USD",0.29%,44,27.27%,2.095,0,,0
"10, 6, 65","+2,575.50 USD",+0.26%,"3,062.50 USD",0.31%,48,29.17%,1.996,0,,0
"10, 6, 75","+2,760.50 USD",+0.28%,"2,596.00 USD",0.26%,53,30.19%,1.843,0,,0
"10, 6, 85","+3,701.50 USD",+0.37%,"2,596.00 USD",0.26%,56,35.71%,2.068,0,,0
"10, 6, 95","+3,175.00 USD",+0.32%,"2,656.50 USD",0.27%,61,32.79%,1.698,0,,0
"10, 6.28, 25",−50.50 USD,−0.01%,"2,811.50 USD",0.28%,17,29.41%,0.982,0,,0
"10, 6.5, 105","+1,401.50 USD",+0.14%,"3,131.00 USD",0.31%,53,18.87%,1.286,0,,0
"10, 6.5, 115","+1,215.50 USD",+0.12%,"3,509.50 USD",0.35%,57,17.54%,1.21,0,,0
"10, 6.5, 125",+621.00 USD,+0.06%,"4,149.50 USD",0.41%,42,19.05%,1.135,0,,0
"10, 6.5, 135",+493.00 USD,+0.05%,"4,315.50 USD",0.43%,42,16.67%,1.083,0,,0
"10, 6.5, 145",−119.50 USD,−0.01%,"4,541.00 USD",0.45%,43,13.95%,0.977,0,,0
"10, 6.5, 25","+2,434.50 USD",+0.24%,"2,703.50 USD",0.27%,20,25.00%,2.991,0,,0
"10, 6.5, 35",+781.50 USD,+0.08%,"3,176.00 USD",0.32%,28,25.00%,1.299,0,,0
"10, 6.5, 45",+660.50 USD,+0.07%,"3,213.50 USD",0.32%,30,26.67%,1.236,0,,0
"10, 6.5, 55","−1,147.00 USD",−0.11%,"3,406.00 USD",0.34%,33,18.18%,0.653,0,,0
"10, 6.5, 65",+253.50 USD,+0.03%,"1,338.00 USD",0.13%,36,19.44%,1.08,0,,0
"10, 6.5, 75",+549.50 USD,+0.05%,"1,486.00 USD",0.15%,42,19.05%,1.154,0,,0
"10, 6.5, 85",+178.00 USD,+0.02%,"2,830.00 USD",0.28%,48,16.67%,1.042,0,,0
"10, 6.5, 95","+2,046.50 USD",+0.20%,"2,795.00 USD",0.28%,50,20.00%,1.479,0,,0
"10, 7, 105","−2,294.50 USD",−0.23%,"5,063.00 USD",0.51%,47,25.53%,0.647,0,,0
"10, 7, 115","−4,111.50 USD",−0.41%,"5,538.00 USD",0.55%,50,22.00%,0.435,0,,0
"10, 7, 125","−2,885.50 USD",−0.29%,"4,384.50 USD",0.44%,37,16.22%,0.521,0,,0
"10, 7, 135","−3,374.00 USD",−0.34%,"4,650.00 USD",0.46%,37,13.51%,0.482,0,,0
"10, 7, 145","−3,535.50 USD",−0.35%,"4,646.50 USD",0.46%,39,15.38%,0.481,0,,0
"10, 7, 25","−3,525.00 USD",−0.35%,"3,841.00 USD",0.38%,7,42.86%,0.195,0,,0
"10, 7, 35","−3,454.50 USD",−0.35%,"4,373.50 USD",0.44%,10,40.00%,0.223,0,,0
"10, 7, 45",−1.50 USD,0.00%,"4,135.50 USD",0.41%,22,40.91%,1,0,,0
"10, 7, 55","−2,157.50 USD",−0.22%,"4,384.50 USD",0.44%,26,30.77%,0.489,0,,0
"10, 7, 65",+606.50 USD,+0.06%,"3,651.00 USD",0.36%,33,36.36%,1.161,0,,0
"10, 7, 75",−365.50 USD,−0.04%,"3,676.00 USD",0.37%,37,32.43%,0.922,0,,0
"10, 7, 85","−1,619.00 USD",−0.16%,"4,163.50 USD",0.42%,40,27.50%,0.696,0,,0
"10, 7, 95","−2,542.50 USD",−0.25%,"5,033.00 USD",0.50%,45,24.44%,0.593,0,,0
"10, 7.5, 105","−4,092.00 USD",−0.41%,"4,409.00 USD",0.44%,39,20.51%,0.383,0,,0
"10, 7.5, 115","−4,532.00 USD",−0.45%,"4,916.00 USD",0.49%,42,21.43%,0.367,0,,0
"10, 7.5, 125","−3,952.00 USD",−0.40%,"4,434.00 USD",0.44%,30,20.00%,0.34,0,,0
"10, 7.5, 135","−3,612.50 USD",−0.36%,"4,901.50 USD",0.49%,32,21.88%,0.389,0,,0
"10, 7.5, 145","−4,498.00 USD",−0.45%,"5,612.00 USD",0.56%,34,17.65%,0.335,0,,0
"10, 7.5, 25",−86.00 USD,−0.01%,"1,766.00 USD",0.18%,16,37.50%,0.904,0,,0
"10, 7.5, 35",−293.00 USD,−0.03%,"1,783.00 USD",0.18%,18,27.78%,0.733,0,,0
"10, 7.5, 45",−163.00 USD,−0.02%,"1,528.00 USD",0.15%,20,30.00%,0.867,0,,0
"10, 7.5, 55","−4,961.50 USD",−0.50%,"5,244.50 USD",0.52%,24,25.00%,0.632,0,,0
"10, 7.5, 65","−6,133.50 USD",−0.61%,"6,305.50 USD",0.63%,26,19.23%,0.336,0,,0
"10, 7.5, 75","−6,102.00 USD",−0.61%,"6,597.50 USD",0.66%,31,25.81%,0.322,0,,0
"10, 7.5, 85","−6,731.50 USD",−0.67%,"7,282.00 USD",0.73%,33,21.21%,0.175,0,,0
"10, 7.5, 95","−5,915.50 USD",−0.59%,"5,963.50 USD",0.60%,35,20.00%,0.075,0,,0
"10, 8, 105","+2,188.00 USD",+0.22%,"2,120.00 USD",0.21%,38,18.42%,0.833,0,,0
"10, 8, 115","+2,505.50 USD",+0.25%,"2,120.00 USD",0.21%,40,20.00%,0.885,0,,0
"10, 8, 125","+3,453.50 USD",+0.35%,"2,027.50 USD",0.20%,27,22.22%,1.139,0,,0
"10, 8, 135","+3,125.50 USD",+0.31%,"2,231.50 USD",0.22%,28,21.43%,1.063,0,,0
"10, 8, 145","+2,327.00 USD",+0.23%,"2,474.50 USD",0.25%,29,20.69%,1.675,0,,0
"10, 8, 25","+1,718.00 USD",+0.17%,"2,027.00 USD",0.20%,14,28.57%,1.189,0,,0
"10, 8, 35","+1,658.00 USD",+0.17%,"2,027.00 USD",0.20%,15,26.67%,1.123,0,,0
"10, 8, 45","+1,245.00 USD",+0.12%,"2,988.00 USD",0.30%,21,23.81%,0.879,0,,0
"10, 8, 55","+2,443.00 USD",+0.24%,"2,418.50 USD",0.24%,28,25.00%,1.101,0,,0
"10, 8, 65","+4,108.50 USD",+0.41%,"2,087.50 USD",0.21%,29,27.59%,1.521,0,,0
"10, 8, 75","+3,394.00 USD",+0.34%,"2,087.50 USD",0.21%,30,23.33%,1.358,0,,0
"10, 8, 85","+1,930.00 USD",+0.19%,"2,120.00 USD",0.21%,35,17.14%,0.922,0,,0
"10, 8, 95","+2,401.00 USD",+0.24%,"2,120.00 USD",0.21%,37,18.92%,0.921,0,,0
"10, 8.5, 105","−1,943.50 USD",−0.19%,"3,804.00 USD",0.38%,37,18.92%,0.567,0,,0
"10, 8.5, 115","−2,004.50 USD",−0.20%,"3,865.00 USD",0.39%,37,18.92%,0.559,0,,0
"10, 8.5, 125",+212.50 USD,+0.02%,"1,648.00 USD",0.16%,25,24.00%,1.094,0,,0
"10, 8.5, 135",+158.00 USD,+0.02%,"1,702.50 USD",0.17%,25,24.00%,1.068,0,,0
"10, 8.5, 145",−303.00 USD,−0.03%,"1,873.00 USD",0.19%,26,19.23%,0.867,0,,0
"10, 8.5, 25",+250.00 USD,+0.03%,450.00 USD,0.05%,16,31.25%,1.4,0,,0
"10, 8.5, 35",+250.00 USD,+0.03%,450.00 USD,0.05%,16,31.25%,1.4,0,,0
"10, 8.5, 45","+1,169.50 USD",+0.12%,"1,135.00 USD",0.11%,24,20.83%,1.814,0,,0
"10, 8.5, 55","+1,101.50 USD",+0.11%,"1,159.50 USD",0.12%,27,22.22%,1.698,0,,0
"10, 8.5, 65",−350.50 USD,−0.04%,"2,370.00 USD",0.24%,29,20.69%,0.882,0,,0
"10, 8.5, 75","−1,046.00 USD",−0.10%,"3,018.00 USD",0.30%,34,17.65%,0.713,0,,0
"10, 8.5, 85",−86.50 USD,−0.01%,"2,452.00 USD",0.25%,35,20.00%,0.978,0,,0
"10, 8.5, 95",−357.50 USD,−0.04%,"2,509.50 USD",0.25%,36,19.44%,0.914,0,,0
"10, 9, 105",+278.50 USD,+0.03%,"2,087.00 USD",0.21%,27,29.63%,1.092,0,,0
"10, 9, 115",+651.50 USD,+0.07%,"1,351.50 USD",0.14%,28,25.00%,1.259,0,,0
"10, 9, 125",+160.50 USD,+0.02%,"1,255.50 USD",0.13%,20,25.00%,1.086,0,,0
"10, 9, 135",−4.00 USD,0.00%,"1,405.00 USD",0.14%,20,25.00%,0.998,0,,0
"10, 9, 145",−534.50 USD,−0.05%,"1,997.50 USD",0.20%,22,22.73%,0.769,0,,0
"10, 9, 25",+225.00 USD,+0.02%,871.50 USD,0.09%,7,42.86%,1.518,0,,0
"10, 9, 35",+133.50 USD,+0.01%,934.00 USD,0.09%,11,45.45%,1.233,0,,0
"10, 9, 45",−533.00 USD,−0.05%,876.50 USD,0.09%,16,31.25%,0.437,0,,0
"10, 9, 55","−1,727.50 USD",−0.17%,"2,087.00 USD",0.21%,20,25.00%,0.193,0,,0
"10, 9, 65",−785.00 USD,−0.08%,"2,087.00 USD",0.21%,23,26.09%,0.659,0,,0
"10, 9, 75",+28.00 USD,+0.00%,"2,819.00 USD",0.28%,24,33.33%,1.008,0,,0
"10, 9, 85",−444.00 USD,−0.04%,"3,020.50 USD",0.30%,26,26.92%,0.882,0,,0
"10, 9, 95",−466.50 USD,−0.05%,"3,031.50 USD",0.30%,27,29.63%,0.878,0,,0
"10, 9.5, 105","−1,949.50 USD",−0.19%,"2,174.00 USD",0.22%,28,17.86%,0.449,0,,0
"10, 9.5, 115",−411.00 USD,−0.04%,"2,702.50 USD",0.27%,29,27.59%,0.878,0,,0
"10, 9.5, 125",+559.50 USD,+0.06%,"1,588.00 USD",0.16%,21,28.57%,1.311,0,,0
"10, 9.5, 135",+534.00 USD,+0.05%,"1,588.00 USD",0.16%,21,28.57%,1.293,0,,0
"10, 9.5, 145",+269.00 USD,+0.03%,"1,588.00 USD",0.16%,21,23.81%,1.104,0,,0
"10, 9.5, 25","+4,380.00 USD",+0.44%,"3,334.50 USD",0.33%,2,100.00%,,0,,0
"10, 9.5, 35",+851.00 USD,+0.09%,298.00 USD,0.03%,7,42.86%,5.353,0,,0
"10, 9.5, 45","+1,088.00 USD",+0.11%,"1,233.50 USD",0.12%,10,40.00%,4.459,0,,0
"10, 9.5, 55","+1,747.00 USD",+0.17%,"1,364.50 USD",0.14%,15,40.00%,3.24,0,,0
"10, 9.5, 65",+883.50 USD,+0.09%,"1,542.00 USD",0.15%,20,30.00%,1.552,0,,0
"10, 9.5, 75",+875.50 USD,+0.09%,"1,572.50 USD",0.16%,20,30.00%,1.545,0,,0
"10, 9.5, 85",+530.00 USD,+0.05%,"1,588.00 USD",0.16%,22,27.27%,1.271,0,,0
"10, 9.5, 95",−580.50 USD,−0.06%,"1,588.00 USD",0.16%,25,20.00%,0.732,0,,0
"100, 10, 105",+881.50 USD,+0.09%,975.50 USD,0.10%,21,33.33%,1.432,0,,0
"100, 10, 115","+1,071.00 USD",+0.11%,"1,184.50 USD",0.12%,22,31.82%,1.471,0,,0
"100, 10, 125",−148.00 USD,−0.01%,"1,308.50 USD",0.13%,16,18.75%,0.931,0,,0
"100, 10, 135",+967.00 USD,+0.10%,945.50 USD,0.09%,16,18.75%,1.457,0,,0
"100, 10, 145","+1,129.50 USD",+0.11%,945.50 USD,0.09%,17,23.53%,1.445,0,,0
"100, 10, 25",−447.00 USD,−0.04%,472.50 USD,0.05%,7,14.29%,0.029,0,,0
"100, 10, 35",+968.00 USD,+0.10%,947.50 USD,0.09%,12,25.00%,1.993,0,,0
"100, 10, 45","+1,709.00 USD",+0.17%,996.00 USD,0.10%,15,33.33%,2.596,0,,0
"100, 10, 55","+1,676.50 USD",+0.17%,"1,028.50 USD",0.10%,15,33.33%,2.519,0,,0
"100, 10, 65","+1,139.00 USD",+0.11%,"1,243.00 USD",0.12%,17,29.41%,1.694,0,,0
"100, 10, 75","+1,235.50 USD",+0.12%,"1,250.50 USD",0.12%,19,36.84%,1.749,0,,0
"100, 10, 85",−422.00 USD,−0.04%,"1,001.00 USD",0.10%,20,30.00%,0.772,0,,0
"100, 10, 95",−630.00 USD,−0.06%,"1,209.00 USD",0.12%,21,28.57%,0.695,0,,0
"100, 10.5, 105",−765.00 USD,−0.08%,"1,994.50 USD",0.20%,17,23.53%,0.625,0,,0
"100, 10.5, 115",−896.00 USD,−0.09%,"2,125.50 USD",0.21%,17,23.53%,0.577,0,,0
"100, 10.5, 125",−671.50 USD,−0.07%,"1,922.00 USD",0.19%,15,26.67%,0.645,0,,0
"100, 10.5, 135",−679.00 USD,−0.07%,"1,929.50 USD",0.19%,15,26.67%,0.642,0,,0
"100, 10.5, 145",−465.00 USD,−0.05%,"1,172.50 USD",0.12%,16,25.00%,0.785,0,,0
"100, 10.5, 25",+168.00 USD,+0.02%,220.00 USD,0.02%,8,50.00%,1.762,0,,0
"100, 10.5, 35",−169.00 USD,−0.02%,482.00 USD,0.05%,11,27.27%,0.677,0,,0
"100, 10.5, 45",−329.50 USD,−0.03%,482.00 USD,0.05%,12,25.00%,0.496,0,,0
"100, 10.5, 55",−537.00 USD,−0.05%,601.50 USD,0.06%,13,23.08%,0.372,0,,0
"100, 10.5, 65",−889.50 USD,−0.09%,928.50 USD,0.09%,14,21.43%,0.226,0,,0
"100, 10.5, 75",−970.50 USD,−0.10%,"1,009.50 USD",0.10%,14,21.43%,0.211,0,,0
"100, 10.5, 85","+1,221.50 USD",+0.12%,"1,911.50 USD",0.19%,15,20.00%,0.132,0,,0
"100, 10.5, 95","+1,529.00 USD",+0.15%,"1,948.00 USD",0.19%,15,20.00%,0.129,0,,0
"100, 11, 105","−6,082.00 USD",−0.61%,"6,580.00 USD",0.66%,10,10.00%,0.023,0,,0
"100, 11, 115","−6,212.50 USD",−0.62%,"6,637.00 USD",0.66%,10,10.00%,0.023,0,,0
"100, 11, 125",−764.00 USD,−0.08%,824.00 USD,0.08%,9,22.22%,0.177,0,,0
"100, 11, 135",−890.00 USD,−0.09%,950.00 USD,0.09%,9,22.22%,0.156,0,,0
"100, 11, 145",−703.00 USD,−0.07%,"1,179.00 USD",0.12%,10,30.00%,0.358,0,,0
"100, 11, 25",+132.50 USD,+0.01%,189.50 USD,0.02%,2,50.00%,2.71,0,,0
"100, 11, 35","−5,558.50 USD",−0.56%,"7,413.50 USD",0.74%,4,25.00%,0.036,0,,0
"100, 11, 45","−5,226.50 USD",−0.52%,"6,361.00 USD",0.64%,4,25.00%,0.039,0,,0
"100, 11, 55","−5,321.00 USD",−0.53%,"6,455.50 USD",0.65%,5,20.00%,0.038,0,,0
"100, 11, 65","−5,488.00 USD",−0.55%,"6,471.00 USD",0.65%,6,16.67%,0.037,0,,0
"100, 11, 75","−5,714.50 USD",−0.57%,"6,483.00 USD",0.65%,8,12.50%,0.035,0,,0
"100, 11, 85","−6,017.00 USD",−0.60%,"6,580.00 USD",0.66%,10,10.00%,0.023,0,,0
"100, 11, 95","−6,017.00 USD",−0.60%,"6,580.00 USD",0.66%,10,10.00%,0.023,0,,0
"100, 11.5, 105","+1,419.00 USD",+0.14%,"1,430.50 USD",0.14%,19,31.58%,1.644,0,,0
"100, 11.5, 115","−2,591.00 USD",−0.26%,"7,196.00 USD",0.72%,20,30.00%,0.583,0,,0
"100, 11.5, 125",+295.50 USD,+0.03%,"1,125.00 USD",0.11%,16,31.25%,1.195,0,,0
"100, 11.5, 135",−108.50 USD,−0.01%,"1,459.00 USD",0.15%,16,31.25%,0.941,0,,0
