PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"45, 16.5, 25",+433.00 USD,+0.04%,"2,176.00 USD",0.22%,3,66.67%,38.652,0,,0
"45, 16.5, 35",+398.00 USD,+0.04%,"2,176.00 USD",0.22%,4,50.00%,9.559,0,,0
"45, 16.5, 45",+243.00 USD,+0.02%,"2,176.00 USD",0.22%,6,33.33%,2.218,0,,0
"45, 16.5, 55",+199.50 USD,+0.02%,"2,176.00 USD",0.22%,6,33.33%,1.941,0,,0
"45, 16.5, 65",+187.50 USD,+0.02%,"2,176.00 USD",0.22%,6,33.33%,1.884,0,,0
"45, 16.5, 75","+1,945.50 USD",+0.19%,"2,176.00 USD",0.22%,7,57.14%,11.488,0,,0
"45, 16.5, 85","+1,906.50 USD",+0.19%,"2,176.00 USD",0.22%,7,57.14%,9.492,0,,0
"45, 16.5, 95","+1,471.00 USD",+0.15%,377.50 USD,0.04%,8,37.50%,4.928,0,,0
"45, 17, 105","+4,763.50 USD",+0.48%,"1,244.50 USD",0.12%,7,14.29%,1.957,0,,0
"45, 17, 115","+4,930.00 USD",+0.49%,"1,283.50 USD",0.13%,7,14.29%,1.884,0,,0
"45, 17, 125","+4,734.50 USD",+0.47%,"1,187.00 USD",0.12%,6,16.67%,2.077,0,,0
"45, 17, 135","+4,441.50 USD",+0.44%,"1,187.00 USD",0.12%,7,14.29%,1.816,0,,0
"45, 17, 145","+6,269.50 USD",+0.63%,"1,006.50 USD",0.10%,7,28.57%,3.402,0,,0
"45, 17, 25",−133.00 USD,−0.01%,133.00 USD,0.01%,1,0.00%,0,0,,0
"45, 17, 35","+1,761.50 USD",+0.18%,206.00 USD,0.02%,2,0.00%,0,0,,0
"45, 17, 45","+4,472.00 USD",+0.45%,917.00 USD,0.09%,2,50.00%,39.649,0,,0
"45, 17, 55","+4,847.50 USD",+0.48%,"1,042.50 USD",0.10%,3,33.33%,9.308,0,,0
"45, 17, 65","+4,504.00 USD",+0.45%,"1,160.50 USD",0.12%,4,25.00%,5.413,0,,0
"45, 17, 75","+4,034.50 USD",+0.40%,"1,173.00 USD",0.12%,6,16.67%,2.129,0,,0
"45, 17, 85","+4,270.00 USD",+0.43%,"1,173.00 USD",0.12%,6,16.67%,2.108,0,,0
"45, 17, 95","+4,514.00 USD",+0.45%,"1,232.50 USD",0.12%,7,14.29%,1.981,0,,0
"45, 17.5, 105","+8,315.50 USD",+0.83%,878.50 USD,0.09%,6,66.67%,23.446,0,,0
"45, 17.5, 115","+8,440.50 USD",+0.84%,888.00 USD,0.09%,7,57.14%,14.461,0,,0
"45, 17.5, 125","+8,208.50 USD",+0.82%,878.50 USD,0.09%,6,66.67%,22.552,0,,0
"45, 17.5, 135","+8,047.00 USD",+0.80%,878.50 USD,0.09%,7,57.14%,19.857,0,,0
"45, 17.5, 145","+7,724.50 USD",+0.77%,878.50 USD,0.09%,8,50.00%,7.993,0,,0
"45, 17.5, 25","−1,115.00 USD",−0.11%,"3,256.50 USD",0.33%,2,50.00%,55.015,0,,0
"45, 17.5, 35","−2,723.00 USD",−0.27%,"3,284.00 USD",0.33%,2,50.00%,0.167,0,,0
